Area,Age-Group,Mobility-Years,Total-in-migrants,Intraprovincial-in-migrants,Interprovincial-in-migrants,External-in-migrants,Total-out-migrants,Intraprovincial-out-migrants,Interprovincial-out-migrants
Yukon,15 to 19,5,395,160,115,120,420,160,255
Whitehorse,15 to 19,5,315,100,100,115,195,25,170
Northwest Territories,15 to 19,5,450,155,265,30,580,160,420
Yellowknife,15 to 19,5,220,35,160,25,275,20,250
Nunavut,15 to 19,5,240,165,65,10,265,165,100
Canada,20 to 24,5,577710,361005,90770,125935,451770,361005,90770
Newfoundland and Labrador,20 to 24,5,7940,5425,2010,505,9480,5430,4055
St. Johns,20 to 24,5,4300,2530,1290,475,1705,320,1380
Bay Roberts,20 to 24,5,45,25,0,0,100,75,20
Grand Falls-Windsor,20 to 24,5,175,115,55,0,200,95,105
Corner Brook,20 to 24,5,370,275,90,0,560,305,250
Prince Edward Island,20 to 24,5,2430,1375,810,245,2920,1370,1550
Charlottetown,20 to 24,5,1370,520,635,215,880,85,800
Summerside,20 to 24,5,190,130,65,0,300,145,150
Nova Scotia,20 to 24,5,16340,7650,6035,2660,14485,7645,6835
Halifax,20 to 24,5,10475,4080,4305,2090,3725,795,2925
Kentville,20 to 24,5,490,390,95,0,370,200,170
Truro,20 to 24,5,525,385,130,0,1005,665,345
New Glasgow,20 to 24,5,260,160,60,0,600,290,310
Cape Breton,20 to 24,5,675,130,230,315,1370,745,625
New Brunswick,20 to 24,5,12895,8615,3415,870,13890,8615,5275
Moncton,20 to 24,5,3015,2000,715,300,1895,755,1145
Saint John,20 to 24,5,1240,545,490,205,1370,525,845
Fredericton,20 to 24,5,2870,1800,875,200,1370,500,875
Bathurst,20 to 24,5,145,105,30,0,715,495,215
Miramichi,20 to 24,5,215,140,65,0,405,275,125
Campbellton,20 to 24,5,185,165,0,0,310,225,90
Campbellton (New Brunswick part),20 to 24,5,175,160,15,0,250,145,100
Campbellton (Quebec part),20 to 24,5,25,0,10,0,80,70,0
Edmundston,20 to 24,5,110,90,20,0,345,170,180
Quebec,20 to 24,5,132655,99120,8600,24935,105850,99120,6730
Matane,20 to 24,5,240,225,0,0,320,320,0
Rimouski,20 to 24,5,1030,1005,0,25,1020,1005,15
Riviere-du-Loup,20 to 24,5,480,455,0,20,645,610,35
Baie-Comeau,20 to 24,5,190,185,0,0,420,410,0
Saguenay,20 to 24,5,1405,1255,75,75,1950,1880,65
Alma,20 to 24,5,285,265,0,0,780,735,40
Dolbeau-Mistassini,20 to 24,5,75,75,0,0,375,370,0
Sept-Iles,20 to 24,5,345,290,0,45,370,370,0
Quebec,20 to 24,5,12565,10760,630,1170,5550,4810,745
Saint-Georges,20 to 24,5,430,395,0,25,635,570,65
Thetford Mines,20 to 24,5,190,165,0,0,335,335,0
Sherbrooke,20 to 24,5,4665,4065,110,495,2445,2190,255
Cowansville,20 to 24,5,185,175,0,0,210,200,0
Victoriaville,20 to 24,5,515,440,0,35,715,690,0
Trois-Rivieres,20 to 24,5,2385,2090,25,270,2045,1950,90
Shawinigan,20 to 24,5,305,300,0,0,695,685,0
Drummondville,20 to 24,5,1120,1070,30,20,1125,1120,0
