Area,Age-Group,Mobility-Years,Total-in-migrants,Intraprovincial-in-migrants,Interprovincial-in-migrants,External-in-migrants,Total-out-migrants,Intraprovincial-out-migrants,Interprovincial-out-migrants
Ontario,20 to 24,1,79810,58100,7925,13785,68305,58100,10205
Cornwall,20 to 24,1,215,170,45,0,235,195,40
Hawkesbury,20 to 24,1,110,80,0,0,100,80,20
Hawkesbury (Ontario part),20 to 24,1,95,60,0,0,100,80,20
Ottawa - Gatineau,20 to 24,1,6820,3945,1385,1495,5230,3990,1245
Ottawa - Gatineau (Quebec part),20 to 24,1,1680,720,745,210,1335,970,360
Ottawa - Gatineau (Ontario part),20 to 24,1,5830,3220,1330,1280,4590,3015,1575
Brockville,20 to 24,1,160,135,15,0,175,170,0
Pembroke,20 to 24,1,190,140,35,0,145,110,35
Petawawa,20 to 24,1,255,230,0,15,205,160,45
Kingston,20 to 24,1,1675,1310,280,90,1825,1325,505
Belleville,20 to 24,1,855,720,100,40,590,520,65
Cobourg,20 to 24,1,150,140,0,0,270,270,0
Port Hope,20 to 24,1,85,70,0,0,70,45,20
Peterborough,20 to 24,1,910,685,130,95,890,670,225
Kawartha Lakes,20 to 24,1,355,300,40,20,495,440,50
Centre Wellington,20 to 24,1,215,200,0,0,185,175,0
Oshawa,20 to 24,1,1635,1375,150,115,1275,1145,135
Ingersoll,20 to 24,1,80,70,0,0,70,65,0
Toronto,20 to 24,1,21250,9315,2875,9065,10210,6905,3305
Hamilton,20 to 24,1,3235,2335,390,505,3165,2685,485
St. Catharines - Niagara,20 to 24,1,1460,1000,265,195,1400,1195,210
Kitchener - Cambridge - Waterloo,20 to 24,1,3240,2410,375,455,3130,2765,360
Brantford,20 to 24,1,720,620,65,35,685,625,60
Woodstock,20 to 24,1,460,445,0,0,235,215,0
Tillsonburg,20 to 24,1,145,140,0,0,110,110,0
Norfolk,20 to 24,1,170,140,0,30,375,355,25
Guelph,20 to 24,1,1350,1155,95,100,1640,1535,110
Stratford,20 to 24,1,235,215,0,0,150,130,20
London,20 to 24,1,3455,2525,305,620,3530,3050,480
Chatham-Kent,20 to 24,1,375,325,40,0,650,625,25
Leamington,20 to 24,1,260,210,0,50,200,185,15
Windsor,20 to 24,1,1155,695,120,340,865,675,190
Sarnia,20 to 24,1,395,280,25,90,485,400,90
Owen Sound,20 to 24,1,165,120,0,0,215,170,0
Collingwood,20 to 24,1,110,80,0,0,145,115,0
Barrie,20 to 24,1,1160,995,105,65,1130,955,175
Orillia,20 to 24,1,205,185,0,0,240,200,45
Midland,20 to 24,1,200,175,25,0,195,190,0
North Bay,20 to 24,1,530,455,45,30,770,710,65
Greater Sudbury,20 to 24,1,745,590,80,75,935,695,240
Elliot Lake,20 to 24,1,120,120,0,0,45,35,0
Temiskaming Shores,20 to 24,1,135,105,0,0,145,140,10
Timmins,20 to 24,1,245,220,15,0,250,235,10
Sault Ste. Marie,20 to 24,1,325,250,40,45,400,350,50
Thunder Bay,20 to 24,1,630,460,120,55,540,360,180
Kenora,20 to 24,1,30,0,0,0,75,35,45
Manitoba,20 to 24,1,7225,4335,1435,1455,6075,4340,1740
Winnipeg,20 to 24,1,3550,1355,915,1280,1835,800,1030
Steinbach,20 to 24,1,220,140,55,25,155,135,0
Portage la Prairie,20 to 24,1,80,60,15,0,125,60,65
Brandon,20 to 24,1,550,355,150,50,515,325,190
Thompson,20 to 24,1,145,115,30,0,105,70,35
Saskatchewan,20 to 24,1,9020,5840,2340,830,8160,5840,2320
Regina,20 to 24,1,1575,750,555,265,1185,735,445
Yorkton,20 to 24,1,140,65,80,0,85,60,25
Moose Jaw,20 to 24,1,255,180,70,0,330,280,50
Swift Current,20 to 24,1,200,140,35,0,140,60,80
Saskatoon,20 to 24,1,2170,1050,800,320,1875,1015,860
North Battleford,20 to 24,1,180,115,10,60,105,80,25
Prince Albert,20 to 24,1,355,205,75,75,390,320,70
Estevan,20 to 24,1,250,90,140,0,95,60,40
Alberta,20 to 24,1,31910,17575,10165,4165,24450,17575,6875
Medicine Hat,20 to 24,1,395,205,115,80,480,310,170
Brooks,20 to 24,1,160,60,65,0,240,205,30
Lethbridge,20 to 24,1,1135,760,245,130,885,600,280
Okotoks,20 to 24,1,155,100,45,0,210,160,50
High River,20 to 24,1,75,65,0,0,70,65,0
Calgary,20 to 24,1,7755,2765,3280,1710,4335,1725,2605
Strathmore,20 to 24,1,60,45,0,0,90,70,25
Canmore,20 to 24,1,170,50,60,60,130,80,55
Red Deer,20 to 24,1,1240,850,335,55,1165,985,175
Sylvan Lake,20 to 24,1,305,280,25,0,210,175,35
Lacombe,20 to 24,1,105,95,0,0,270,255,20
Camrose,20 to 24,1,260,195,55,0,190,175,15
Edmonton,20 to 24,1,7650,2980,3215,1460,4150,2270,1880
Lloydminster,20 to 24,1,510,170,340,0,265,150,110
Lloydminster (Saskatchewan part),20 to 24,1,195,55,140,0,130,40,90
Lloydminster (Alberta part),20 to 24,1,320,115,205,0,135,110,20
Cold Lake,20 to 24,1,195,35,145,0,180,100,80
Grande Prairie,20 to 24,1,1045,570,435,35,525,355,170
Wood Buffalo,20 to 24,1,1170,370,715,95,780,515,265
Wetaskiwin,20 to 24,1,80,45,0,0,180,175,0
British Columbia ,20 to 24,1,36925,22180,7000,7750,29235,22180,7055
Cranbrook,20 to 24,1,120,85,30,0,175,105,70
Penticton,20 to 24,1,280,235,25,10,330,240,90
Kelowna,20 to 24,1,1425,845,410,165,1380,815,565
Vernon,20 to 24,1,365,250,100,15,325,215,105
Salmon Arm,20 to 24,1,80,40,30,0,100,85,0
Kamloops,20 to 24,1,940,600,120,220,650,495,150
Chilliwack,20 to 24,1,490,375,105,0,630,520,105
Abbotsford - Mission,20 to 24,1,1230,800,115,315,855,690,165
Vancouver,20 to 24,1,12800,3150,3550,6110,5735,2795,2940
Squamish,20 to 24,1,275,215,55,0,110,70,40
Victoria,20 to 24,1,2725,1445,935,350,2180,1375,805
Duncan,20 to 24,1,175,150,0,20,300,255,45
Nanaimo,20 to 24,1,890,620,170,100,615,475,140
Parksville,20 to 24,1,145,95,35,0,175,140,40
Port Alberni,20 to 24,1,140,85,50,0,160,140,15
Courtenay,20 to 24,1,330,240,70,25,360,230,130
Campbell River,20 to 24,1,270,195,65,0,265,225,40
Powell River,20 to 24,1,65,45,0,0,170,160,0
Williams Lake,20 to 24,1,115,85,30,0,190,170,0
Quesnel,20 to 24,1,120,105,20,0,110,75,40
Prince Rupert,20 to 24,1,80,55,25,0,165,95,70
Terrace,20 to 24,1,135,90,50,0,150,110,45
Prince George,20 to 24,1,655,430,115,105,675,435,245
Dawson Creek,20 to 24,1,155,115,40,0,125,65,60
Fort St. John,20 to 24,1,375,265,100,0,270,135,135
Yukon,20 to 24,1,350,65,265,20,260,70,190
Whitehorse,20 to 24,1,280,45,215,0,145,10,140
Northwest Territories,20 to 24,1,330,100,220,10,290,100,190
Yellowknife,20 to 24,1,185,30,150,0,160,15,140
Nunavut,20 to 24,1,180,65,110,10,125,65,60
Canada,25 to 29,1,250195,161975,41430,46795,203405,161975,41430
Newfoundland and Labrador,25 to 29,1,3360,2045,1045,275,3420,2050,1370
St. Johns,25 to 29,1,965,270,490,210,1185,375,815
Bay Roberts,25 to 29,1,50,45,0,0,60,0,0
Grand Falls-Windsor,25 to 29,1,120,45,65,0,45,30,0
Corner Brook,25 to 29,1,170,140,35,0,160,80,80
Prince Edward Island,25 to 29,1,995,570,370,60,970,570,395
Charlottetown,25 to 29,1,415,85,280,50,420,135,285
Summerside,25 to 29,1,65,30,30,0,60,20,35
Nova Scotia,25 to 29,1,5665,2465,2445,755,4940,2470,2475
Halifax,25 to 29,1,2830,675,1530,625,2310,580,1725
Kentville,25 to 29,1,225,130,85,0,150,125,25
Truro,25 to 29,1,160,110,40,0,240,150,90
New Glasgow,25 to 29,1,130,75,50,0,135,95,35
Cape Breton,25 to 29,1,290,85,175,30,285,115,165
New Brunswick,25 to 29,1,4800,3100,1345,350,4845,3105,1745
Moncton,25 to 29,1,735,315,340,80,610,340,270
Saint John,25 to 29,1,610,265,285,60,425,165,260
Fredericton,25 to 29,1,645,375,190,85,865,265,600
Bathurst,25 to 29,1,100,30,45,0,65,55,15
Miramichi,25 to 29,1,95,85,0,0,165,105,60
Campbellton,25 to 29,1,65,0,25,0,45,50,0
Campbellton (New Brunswick part),25 to 29,1,50,0,20,0,45,40,0
Campbellton (Quebec part),25 to 29,1,15,0,0,0,0,0,0
Edmundston,25 to 29,1,55,20,35,0,50,0,40
Quebec,25 to 29,1,57825,44130,3500,10190,48225,44130,4095
Matane,25 to 29,1,160,140,0,0,50,45,0
Rimouski,25 to 29,1,355,320,0,30,265,260,0
Riviere-du-Loup,25 to 29,1,190,180,0,0,230,230,0
Baie-Comeau,25 to 29,1,120,120,0,0,100,100,0
Saguenay,25 to 29,1,595,520,55,20,420,400,25
Alma,25 to 29,1,150,140,0,0,180,175,0
Dolbeau-Mistassini,25 to 29,1,55,50,0,0,75,75,0
Sept-Iles,25 to 29,1,175,135,0,0,125,125,0
Quebec,25 to 29,1,3165,2170,300,695,3395,3040,355
Saint-Georges,25 to 29,1,215,210,0,0,135,125,0
Thetford Mines,25 to 29,1,125,115,0,0,185,180,0
Sherbrooke,25 to 29,1,935,660,50,225,1350,1315,40
Cowansville,25 to 29,1,90,90,0,0,90,80,0
Victoriaville,25 to 29,1,200,180,0,15,290,275,0
Trois-Rivieres,25 to 29,1,620,595,0,25,965,955,0
Shawinigan,25 to 29,1,195,180,0,0,310,290,0
Drummondville,25 to 29,1,470,450,10,0,300,300,0
Granby,25 to 29,1,360,340,0,20,335,320,15
Saint-Hyacinthe,25 to 29,1,380,320,0,45,325,315,0
Sorel-Tracy,25 to 29,1,285,270,0,0,195,195,0
Joliette,25 to 29,1,280,265,0,0,285,285,0
Saint-Jean-sur-Richelieu,25 to 29,1,550,450,25,80,495,465,0
Montreal,25 to 29,1,14660,4400,1875,8375,8020,5335,2685
Salaberry-de-Valleyfield,25 to 29,1,235,225,0,0,205,165,0
Lachute,25 to 29,1,60,55,0,0,50,50,0
Val-dOr,25 to 29,1,265,215,0,0,125,120,0
Amos,25 to 29,1,130,125,0,0,125,125,0
Rouyn-Noranda,25 to 29,1,225,210,0,0,330,310,0
Ontario,25 to 29,1,89785,61305,10615,17870,70815,61305,9505
Cornwall,25 to 29,1,245,155,75,15,115,95,20
Hawkesbury,25 to 29,1,30,0,20,0,65,50,15
Hawkesbury (Ontario part),25 to 29,1,25,0,15,0,65,50,15
Ottawa - Gatineau,25 to 29,1,6315,3030,1710,1575,4615,3175,1445
Ottawa - Gatineau (Quebec part),25 to 29,1,1875,820,800,260,1045,510,535
Ottawa - Gatineau (Ontario part),25 to 29,1,5315,2210,1790,1315,4450,2660,1785
Brockville,25 to 29,1,275,200,60,20,155,130,25
Pembroke,25 to 29,1,270,160,100,0,100,90,0
Petawawa,25 to 29,1,205,150,50,0,365,300,65
Kingston,25 to 29,1,1225,670,415,145,1320,930,385
Belleville,25 to 29,1,630,505,85,40,575,485,90
Cobourg,25 to 29,1,205,180,0,0,160,145,0
Port Hope,25 to 29,1,65,60,0,0,75,75,0
Peterborough,25 to 29,1,750,600,100,55,780,665,115
Kawartha Lakes,25 to 29,1,345,305,0,30,430,400,25
Centre Wellington,25 to 29,1,200,185,20,0,175,175,0
Oshawa,25 to 29,1,2235,1830,180,225,1325,1210,115
Ingersoll,25 to 29,1,90,80,0,0,90,85,0
Toronto,25 to 29,1,24860,8070,4120,12670,11640,8055,3580
Hamilton,25 to 29,1,3670,2730,365,570,2950,2695,255
St. Catharines - Niagara,25 to 29,1,1425,960,230,235,1715,1395,320
Kitchener - Cambridge - Waterloo,25 to 29,1,3085,2095,420,570,2510,2115,390
Brantford,25 to 29,1,620,505,40,75,625,585,40
Woodstock,25 to 29,1,280,265,0,0,205,175,25
Tillsonburg,25 to 29,1,145,130,0,0,180,180,0
Norfolk,25 to 29,1,310,210,65,30,280,275,0
Guelph,25 to 29,1,1280,985,170,125,1190,1025,160
Stratford,25 to 29,1,245,215,20,0,220,200,0
London,25 to 29,1,2755,1865,410,470,2830,2475,355
Chatham-Kent,25 to 29,1,275,200,45,30,440,375,70
Leamington,25 to 29,1,275,205,40,35,130,120,10
Windsor,25 to 29,1,1290,695,270,320,1025,885,140
Sarnia,25 to 29,1,440,340,65,35,335,290,45
Owen Sound,25 to 29,1,160,135,20,0,235,225,0
Collingwood,25 to 29,1,145,130,0,0,125,90,40
Barrie,25 to 29,1,1270,1075,125,70,950,870,85
Orillia,25 to 29,1,350,325,0,25,275,225,50
Midland,25 to 29,1,265,200,0,25,150,130,20
North Bay,25 to 29,1,425,335,70,20,455,395,60
Greater Sudbury,25 to 29,1,880,620,140,120,730,540,195
Elliot Lake,25 to 29,1,60,55,0,0,20,0,0
Temiskaming Shores,25 to 29,1,60,50,0,0,35,35,0
Timmins,25 to 29,1,210,180,15,0,200,175,25
Sault Ste. Marie,25 to 29,1,270,175,35,55,240,195,45
Thunder Bay,25 to 29,1,535,245,195,95,400,270,125
Kenora,25 to 29,1,60,15,40,0,50,30,20
Manitoba,25 to 29,1,6870,3450,1675,1745,5285,3450,1835
Winnipeg,25 to 29,1,3130,760,1005,1370,2005,745,1270
Steinbach,25 to 29,1,140,95,15,25,170,160,10
Portage la Prairie,25 to 29,1,50,40,0,0,55,40,15
Brandon,25 to 29,1,395,170,140,80,480,350,135
Thompson,25 to 29,1,165,80,70,15,80,35,45
Saskatchewan,25 to 29,1,8055,4215,2665,1175,6580,4215,2365
Regina,25 to 29,1,1455,465,665,325,1050,480,565
Yorkton,25 to 29,1,195,105,60,20,85,55,30
Moose Jaw,25 to 29,1,200,130,65,0,180,100,75
Swift Current,25 to 29,1,130,70,50,0,170,60,105
Saskatoon,25 to 29,1,2075,555,900,620,1650,820,820
North Battleford,25 to 29,1,135,65,40,0,95,80,15
Prince Albert,25 to 29,1,350,235,85,25,260,195,60
Estevan,25 to 29,1,90,50,35,0,85,60,0
Alberta,25 to 29,1,31550,16445,9750,5360,25125,16445,8680
Medicine Hat,25 to 29,1,440,200,155,80,360,215,145
Brooks,25 to 29,1,160,30,65,60,235,150,85
Lethbridge,25 to 29,1,785,430,220,135,790,590,205
Okotoks,25 to 29,1,255,225,25,10,150,125,30
High River,25 to 29,1,110,80,0,0,140,120,20
Calgary,25 to 29,1,8800,2725,3485,2585,4995,1825,3170
Strathmore,25 to 29,1,115,75,30,0,90,75,15
Canmore,25 to 29,1,170,105,35,25,195,90,100
Red Deer,25 to 29,1,845,535,250,55,1365,985,380
Sylvan Lake,25 to 29,1,250,195,45,0,120,80,45
Lacombe,25 to 29,1,175,140,0,0,75,60,0
Camrose,25 to 29,1,150,130,0,15,145,125,25
Edmonton,25 to 29,1,6735,2110,2970,1655,5030,2250,2785
Lloydminster,25 to 29,1,280,120,140,0,195,60,140
Lloydminster (Saskatchewan part),25 to 29,1,95,20,75,0,110,15,95
Lloydminster (Alberta part),25 to 29,1,210,105,95,0,110,45,65
Cold Lake,25 to 29,1,150,25,115,0,235,145,95
Grande Prairie,25 to 29,1,1015,490,455,65,465,255,210
Wood Buffalo,25 to 29,1,1105,395,555,155,825,445,375
Wetaskiwin,25 to 29,1,120,90,30,0,165,165,0
British Columbia ,25 to 29,1,40250,24070,7255,8925,32375,24070,8300
Cranbrook,25 to 29,1,125,85,0,30,145,95,50
Penticton,25 to 29,1,270,175,90,0,160,115,45
Kelowna,25 to 29,1,1050,650,265,135,1430,895,535
Vernon,25 to 29,1,310,195,75,35,350,255,100
Salmon Arm,25 to 29,1,55,25,30,0,310,245,65
Kamloops,25 to 29,1,675,435,155,80,655,435,215
Chilliwack,25 to 29,1,490,360,110,20,420,265,150
Abbotsford - Mission,25 to 29,1,985,650,125,215,885,720,165
Vancouver,25 to 29,1,14560,3090,4095,7380,6785,2795,3995
Squamish,25 to 29,1,195,140,55,0,175,105,65
Victoria,25 to 29,1,2740,1360,770,610,2430,1385,1050
Duncan,25 to 29,1,250,205,30,0,325,295,30
Nanaimo,25 to 29,1,685,475,130,80,810,655,155
Parksville,25 to 29,1,70,40,30,0,100,60,40
Port Alberni,25 to 29,1,150,135,15,0,150,130,20
Courtenay,25 to 29,1,400,260,115,30,245,150,95
Campbell River,25 to 29,1,165,115,30,0,225,210,15
Powell River,25 to 29,1,115,100,0,0,90,70,25
Williams Lake,25 to 29,1,135,90,40,0,105,70,35
Quesnel,25 to 29,1,65,55,0,0,115,70,45
Prince Rupert,25 to 29,1,40,25,0,0,60,40,0
Terrace,25 to 29,1,95,75,0,0,70,55,15
Prince George,25 to 29,1,460,320,125,20,465,275,190
Dawson Creek,25 to 29,1,165,95,70,0,150,80,70
Fort St. John,25 to 29,1,285,200,85,0,310,95,210
Yukon,25 to 29,1,355,30,290,40,245,30,210
Whitehorse,25 to 29,1,260,0,220,35,155,10,145
Northwest Territories,25 to 29,1,420,70,300,45,335,70,260
Yellowknife,25 to 29,1,220,15,170,40,160,15,145
Nunavut,25 to 29,1,260,70,180,15,255,70,185
Canada,30 to 34,1,184810,118115,27330,39365,145445,118115,27330
Newfoundland and Labrador,30 to 34,1,2490,1740,635,115,2275,1740,540
St. Johns,30 to 34,1,460,125,255,75,460,175,290
Bay Roberts,30 to 34,1,15,10,0,0,40,30,0
Grand Falls-Windsor,30 to 34,1,170,115,50,0,75,75,0
Corner Brook,30 to 34,1,130,65,60,0,30,25,0
Prince Edward Island,30 to 34,1,820,290,475,55,415,285,125
Charlottetown,30 to 34,1,380,50,275,55,130,50,80
Summerside,30 to 34,1,30,0,0,0,35,25,0
Nova Scotia,30 to 34,1,3785,1535,1760,490,2965,1535,1430
Halifax,30 to 34,1,1660,260,1065,330,1500,520,975
Kentville,30 to 34,1,115,70,40,0,100,100,0
Truro,30 to 34,1,165,80,65,25,170,125,45
New Glasgow,30 to 34,1,150,110,35,0,90,85,0
Cape Breton,30 to 34,1,195,100,95,0,135,50,90
New Brunswick,30 to 34,1,3015,1925,840,255,3050,1925,1125
Moncton,30 to 34,1,480,205,200,80,385,215,175
Saint John,30 to 34,1,210,55,100,55,225,145,75
Fredericton,30 to 34,1,380,145,200,35,570,150,415
Bathurst,30 to 34,1,60,45,15,0,85,60,25
Miramichi,30 to 34,1,50,25,15,0,40,15,20
Campbellton,30 to 34,1,40,0,20,0,30,0,0
Campbellton (New Brunswick part),30 to 34,1,40,0,0,0,20,0,0
Campbellton (Quebec part),30 to 34,1,0,0,0,0,0,0,0
Edmundston,30 to 34,1,40,0,25,0,30,0,25
Quebec,30 to 34,1,44500,32735,2435,9330,35730,32735,2995
Matane,30 to 34,1,75,70,0,0,30,30,0
Rimouski,30 to 34,1,170,135,0,20,135,125,15
Riviere-du-Loup,30 to 34,1,100,80,0,0,95,100,0
Baie-Comeau,30 to 34,1,60,65,0,0,25,20,0
Saguenay,30 to 34,1,350,300,40,0,335,330,0
Alma,30 to 34,1,105,95,0,0,125,130,0
Dolbeau-Mistassini,30 to 34,1,45,40,0,0,40,45,0
Sept-Iles,30 to 34,1,40,30,0,0,35,35,0
Quebec,30 to 34,1,2000,1310,165,525,1955,1725,230
Saint-Georges,30 to 34,1,145,140,0,0,75,65,0
Thetford Mines,30 to 34,1,90,85,0,0,55,55,0
Sherbrooke,30 to 34,1,655,475,35,145,500,465,30
Cowansville,30 to 34,1,40,40,0,0,55,55,0
Victoriaville,30 to 34,1,180,150,0,25,235,230,0
Trois-Rivieres,30 to 34,1,410,350,0,60,500,490,0
Shawinigan,30 to 34,1,175,170,0,0,175,170,0
Drummondville,30 to 34,1,370,320,0,35,290,285,0
Granby,30 to 34,1,300,255,0,45,205,200,0
Saint-Hyacinthe,30 to 34,1,260,225,0,30,365,340,0
Sorel-Tracy,30 to 34,1,140,135,0,0,105,105,0
Joliette,30 to 34,1,240,230,0,0,265,265,0
Saint-Jean-sur-Richelieu,30 to 34,1,470,410,50,0,430,430,0
Montreal,30 to 34,1,12110,2955,1195,7965,6390,4335,2050
Salaberry-de-Valleyfield,30 to 34,1,180,150,0,0,155,120,0
Lachute,30 to 34,1,65,70,0,0,60,55,0
Val-dOr,30 to 34,1,75,60,0,0,55,50,0
Amos,30 to 34,1,125,125,0,0,40,35,0
Rouyn-Noranda,30 to 34,1,120,115,0,0,120,100,25
Ontario,30 to 34,1,66685,44760,6815,15110,51125,44760,6365
Cornwall,30 to 34,1,215,110,80,25,125,90,40
Hawkesbury,30 to 34,1,90,55,25,0,50,20,30
Hawkesbury (Ontario part),30 to 34,1,80,45,30,0,50,20,35
Ottawa - Gatineau,30 to 34,1,4455,1875,1170,1405,2515,1570,945
Ottawa - Gatineau (Quebec part),30 to 34,1,1395,530,600,260,715,325,390
Ottawa - Gatineau (Ontario part),30 to 34,1,3645,1350,1160,1145,2390,1245,1145
Brockville,30 to 34,1,105,90,0,0,160,155,0
Pembroke,30 to 34,1,150,130,20,0,80,70,0
Petawawa,30 to 34,1,150,75,65,0,215,175,45
Kingston,30 to 34,1,675,370,210,95,710,475,235
Belleville,30 to 34,1,380,275,70,30,450,365,85
Cobourg,30 to 34,1,70,60,0,0,55,45,0
Port Hope,30 to 34,1,75,75,0,0,30,30,0
Peterborough,30 to 34,1,285,235,20,25,420,375,50
Kawartha Lakes,30 to 34,1,220,210,0,0,170,155,0
Centre Wellington,30 to 34,1,95,90,0,0,80,80,0
Oshawa,30 to 34,1,1425,1160,140,125,865,800,65
Ingersoll,30 to 34,1,50,50,0,0,50,50,0
Toronto,30 to 34,1,17870,4380,2645,10845,8795,5985,2810
Hamilton,30 to 34,1,2960,2135,235,590,1740,1530,205
St. Catharines - Niagara,30 to 34,1,735,540,95,105,820,700,125
Kitchener - Cambridge - Waterloo,30 to 34,1,1970,1220,180,575,1310,1160,145
Brantford,30 to 34,1,400,370,15,20,240,210,30
Woodstock,30 to 34,1,255,240,0,0,105,70,35
Tillsonburg,30 to 34,1,60,50,0,0,90,95,0
Norfolk,30 to 34,1,130,110,0,20,235,225,0
Guelph,30 to 34,1,850,540,95,215,760,690,70
Stratford,30 to 34,1,160,130,0,0,125,120,0
London,30 to 34,1,1675,970,275,430,1510,1255,255
Chatham-Kent,30 to 34,1,200,170,25,0,245,220,25
Leamington,30 to 34,1,145,120,0,15,170,170,0
Windsor,30 to 34,1,710,375,120,220,525,460,70
Sarnia,30 to 34,1,325,270,20,25,155,125,35
Owen Sound,30 to 34,1,90,80,0,0,75,70,0
Collingwood,30 to 34,1,145,120,20,0,85,75,0
Barrie,30 to 34,1,960,845,75,45,805,760,50
Orillia,30 to 34,1,260,235,0,0,135,115,0
Midland,30 to 34,1,155,115,0,30,75,70,0
North Bay,30 to 34,1,210,120,85,0,285,225,55
Greater Sudbury,30 to 34,1,410,260,105,45,340,275,60
Elliot Lake,30 to 34,1,25,0,0,0,30,25,0
Temiskaming Shores,30 to 34,1,40,40,0,0,30,25,0
Timmins,30 to 34,1,105,80,0,0,55,35,25
Sault Ste. Marie,30 to 34,1,245,165,45,0,75,50,25
Thunder Bay,30 to 34,1,360,170,140,50,160,80,85
Kenora,30 to 34,1,60,0,0,0,40,30,0
Manitoba,30 to 34,1,4965,2225,1080,1660,3610,2225,1390
Winnipeg,30 to 34,1,2535,445,740,1350,1515,545,970
Steinbach,30 to 34,1,35,20,0,15,45,35,15
Portage la Prairie,30 to 34,1,75,40,30,0,55,50,0
Brandon,30 to 34,1,255,125,55,70,255,165,95
Thompson,30 to 34,1,40,30,0,0,95,60,35
Saskatchewan,30 to 34,1,5750,3060,1595,1095,4570,3060,1505
Regina,30 to 34,1,1150,340,405,415,775,390,385
Yorkton,30 to 34,1,90,40,40,0,75,60,20
Moose Jaw,30 to 34,1,215,85,75,55,155,115,45
Swift Current,30 to 34,1,165,95,60,0,30,0,15
Saskatoon,30 to 34,1,1455,535,465,460,1140,570,570
North Battleford,30 to 34,1,65,20,40,0,150,125,25
Prince Albert,30 to 34,1,175,130,40,0,165,100,65
Estevan,30 to 34,1,115,45,50,0,70,60,0
Alberta,30 to 34,1,22690,11365,6225,5100,17115,11365,5755
Medicine Hat,30 to 34,1,330,100,145,85,215,95,115
Brooks,30 to 34,1,100,60,0,0,145,105,35
Lethbridge,30 to 34,1,615,330,165,120,350,255,90
Okotoks,30 to 34,1,235,195,25,0,110,90,30
High River,30 to 34,1,140,90,20,25,75,70,0
Calgary,30 to 34,1,6580,1620,2445,2515,3870,1515,2355
Strathmore,30 to 34,1,65,30,25,0,180,120,55
Canmore,30 to 34,1,130,70,35,25,135,75,60
Red Deer,30 to 34,1,560,395,110,50,615,420,200
Sylvan Lake,30 to 34,1,85,75,0,0,145,120,0
Lacombe,30 to 34,1,80,55,0,10,190,180,0
Camrose,30 to 34,1,95,70,0,20,85,55,20
Edmonton,30 to 34,1,4900,1485,1725,1685,3320,1635,1685
Lloydminster,30 to 34,1,135,35,90,0,115,70,45
Lloydminster (Saskatchewan part),30 to 34,1,35,0,0,0,40,0,35
Lloydminster (Alberta part),30 to 34,1,115,15,100,0,90,65,30
Cold Lake,30 to 34,1,175,45,120,0,155,70,90
Grande Prairie,30 to 34,1,570,340,200,30,325,230,95
Wood Buffalo,30 to 34,1,905,345,425,145,555,295,255
Wetaskiwin,30 to 34,1,115,85,25,0,85,80,0
British Columbia ,30 to 34,1,29380,18295,5000,6080,23965,18300,5665
Cranbrook,30 to 34,1,110,95,0,0,105,65,40
Penticton,30 to 34,1,190,150,25,15,110,80,25
Kelowna,30 to 34,1,1050,650,275,125,695,390,310
Vernon,30 to 34,1,220,130,60,35,260,225,35
Salmon Arm,30 to 34,1,85,35,40,0,180,115,70
Kamloops,30 to 34,1,425,280,125,20,325,220,110
Chilliwack,30 to 34,1,345,250,45,55,360,300,60
Abbotsford - Mission,30 to 34,1,770,570,65,135,535,440,95
Vancouver,30 to 34,1,9055,1595,2470,4995,4785,1930,2855
Squamish,30 to 34,1,215,140,50,0,180,150,30
Victoria,30 to 34,1,1575,785,480,310,1540,800,740
Duncan,30 to 34,1,100,55,35,0,235,200,30
Nanaimo,30 to 34,1,475,290,95,95,310,265,45
Parksville,30 to 34,1,130,110,20,0,75,70,0
Port Alberni,30 to 34,1,85,65,20,0,50,40,0
Courtenay,30 to 34,1,320,215,80,20,180,85,90
Campbell River,30 to 34,1,95,85,0,0,145,130,20
Powell River,30 to 34,1,65,55,0,0,0,0,0
Williams Lake,30 to 34,1,100,60,35,0,80,60,20
Quesnel,30 to 34,1,75,60,0,0,25,20,0
Prince Rupert,30 to 34,1,75,15,0,0,60,30,30
Terrace,30 to 34,1,45,30,0,0,80,65,0
Prince George,30 to 34,1,345,230,75,40,525,305,220
Dawson Creek,30 to 34,1,105,60,40,0,100,60,40
Fort St. John,30 to 34,1,190,145,25,10,220,170,55
Yukon,30 to 34,1,220,40,135,45,150,40,115
Whitehorse,30 to 34,1,150,0,110,35,100,25,75
Northwest Territories,30 to 34,1,320,90,210,25,320,85,235
Yellowknife,30 to 34,1,170,30,115,15,190,20,170
Nunavut,30 to 34,1,195,65,120,0,150,65,90
